gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
LINC01781,17.11689987702732,-0.22232471997809386,0.33289632504532213,-0.6678497275325148,0.5042295203970149,0.8044388022115119,TP2M,14,19
PRKACB,10.431542324789712,0.42219127308124205,0.1784007039048607,2.3665336730195436,0.01795554079602832,0.14521543618787902,TP2M,14,19
RPF1,7.673566167479921,0.04115469013266994,0.2120332649494327,0.19409544130957387,0.8461011510610088,0.9532534260093715,TP2M,14,19
GNG5,16.926137408783053,0.06094639732878667,0.15959312883498977,0.3818860985663223,0.7025458519877126,0.8946423127080894,TP2M,14,19
CTBS,5.936980192813659,-0.08192896131719721,0.2231594215068316,-0.36713198467710273,0.7135205702732137,0.8991934596467286,TP2M,14,19
SSX2IP,1.2195527128096666,0.7407864136096197,0.6091954244655321,1.2160078422446081,0.22398193461764382,,TP2M,14,19
MCOLN2,1.8788441765744501,0.47959164256898057,0.4486680757223565,1.0689230380317054,0.28510435001475143,0.6444033632821602,TP2M,14,19
C1orf52,6.784535986358513,0.08804799504912644,0.20777879303480562,0.4237583333847611,0.6717420681507256,0.8784984011445633,TP2M,14,19
BCL10,9.836399018827006,-0.0359480562728211,0.18281260324435944,-0.196638829242919,0.8441101824617261,0.9515367612184431,TP2M,14,19
ZNHIT6,8.378445368181653,-0.15310276371003143,0.1871588101263189,-0.8180366374775407,0.4133362673228804,0.7486588336169251,TP2M,14,19
ODF2L,11.351698569256625,-0.0023435311250455376,0.21850421548078447,-0.010725335984429237,0.9914425840728798,0.9963265888202404,TP2M,14,19
SH3GLB1,11.536554157090073,0.199706386187264,0.17653006317999578,1.131288249659985,0.2579337883632682,0.6163245698749859,TP2M,14,19
SELENOF,24.11701185079735,0.15448276787867038,0.1518559056102325,1.017298387296048,0.3090115035672967,0.667446091316677,TP2M,14,19
HS2ST1,2.68765954754589,0.18967812234772916,0.3936901733866469,0.48179541977402734,0.6299512834097792,0.8617336391066874,TP2M,14,19
LMO4,10.78450151996283,0.39134969111341406,0.2193713352288897,1.7839600178623336,0.07443016221511609,0.34003363239880163,TP2M,14,19
PKN2,10.511098370642468,-0.13003052242860302,0.17826139694248352,-0.7294373580532283,0.46573417282364815,0.7804638822665184,TP2M,14,19
GTF2B,22.934286515251536,0.2642300686595614,0.18064549507824673,1.4626994630843682,0.14354963315900127,0.4756251113559646,TP2M,14,19
KYAT3,2.204614063832909,-0.47501899607655035,0.3896755621697071,-1.2190115116063538,0.22283982329853058,0.5773121753084521,TP2M,14,19
RBMXL1,1.7599216723664801,0.045603206067987075,0.4147982712578173,0.1099406849736904,0.91245641615132,0.9760187583551387,TP2M,14,19
GBP3,1.25133734188758,0.4439732143092918,0.516259298200722,0.859981051879621,0.3897994874841697,,TP2M,14,19
GBP1,1.539781168735174,0.4603495628190923,0.4461084094566445,1.0319230775761286,0.302108154055559,,TP2M,14,19
GBP2,3.0652753526978493,0.8432640569384366,0.3244004075068323,2.5994543700463026,0.009337209115338183,0.09675040660548227,TP2M,14,19
GBP4,4.599204369096649,-0.5307503728095356,0.3285441726751187,-1.6154612285099597,0.1062108500402935,0.4106999536766027,TP2M,14,19
GBP5,2.7016274950901256,0.5491343554178206,0.3204748143214101,1.7135023748452307,0.0866201568311177,0.36819921428014973,TP2M,14,19
LRRC8B,1.4159100794549055,0.4828758468505383,0.48778217620520875,0.9899415567152533,0.3222026857977929,,TP2M,14,19
LRRC8C-DT,0.8094341095205662,0.3380503239339273,0.5666741472862693,0.596551520045175,0.5508068469326979,,TP2M,14,19
LRRC8C,1.9730560339226315,1.334893545419996,0.4447980216855355,3.001122937466081,0.002689859434814792,0.04108096480166711,TP2M,14,19
LRRC8D,2.3682757511177503,0.3073917537962094,0.4048563013296169,0.7592613793750589,0.4476962154247395,0.7720481053492977,TP2M,14,19
ZNF326,11.897842937346313,-0.036142399275997494,0.15962270080603208,-0.2264239302648843,0.8208717175137401,0.9431331798677206,TP2M,14,19
ZNF644,20.18201268997777,0.02642796950323421,0.14445222803670912,0.18295300711123796,0.8548348910701248,0.95673217797548,TP2M,14,19
TGFBR3,1.6301653549069062,2.898818913684465,0.6577459124570326,4.4072017154098715,1.04714660290286e-05,,TP2M,14,19
GLMN,1.6152851598261238,0.4120786743010227,0.430987698930989,0.9561263008738584,0.3390084284884536,,TP2M,14,19
RPAP2,6.616347397964883,0.0015554928225530531,0.222561803647761,0.006989037638349053,0.9944236001716006,0.997142681583666,TP2M,14,19
