variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
ZC3HAV1,29.495632263715333,0.3872780827013864,0.3213423879355404,1.2051882890067787,0.22813062229538206,0.9996783775182935,,ZC3HAV1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PAFAH1B2,11.935893755271195,-0.5461096716030637,0.4534096966758389,-1.2044507993694271,0.22841538767950165,0.9996783775182935,,PAFAH1B2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
HNRNPM,33.7289940805556,-0.32283070304719347,0.2681479057421698,-1.2039277433611673,0.22861750762293254,0.9996783775182935,,HNRNPM,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NDRG1,14.337002845458468,0.5877320458895101,0.48884660759998316,1.2022831635776505,0.22925383775962582,0.9996783775182935,,NDRG1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
IK,27.737151043496915,0.3280615707123796,0.27291885220814804,1.2020480375689682,0.22934491693254844,0.9996783775182935,,IK,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
HERC5,4.919686469875115,-0.9400928077595023,0.782207722205265,-1.2018454702915928,0.2294234046944894,0.9996783775182935,,HERC5,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ECHS1,12.969868824758853,0.4905956188367754,0.40824649126479534,1.2017142322934675,0.2294742650472874,0.9996783775182935,,ECHS1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SIGIRR,15.572231279347545,-0.46413880475670355,0.3865059074522436,-1.2008582425458845,0.2298061945973272,0.9996783775182935,,SIGIRR,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RRP12,12.659357764392684,0.46192348634671704,0.3846765221057467,1.2008101867462952,0.22982483944920085,0.9996783775182935,,RRP12,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RPL35A,464.5578052320385,-0.1544173169269862,0.12866974614400717,-1.2001058644676454,0.23009822824827109,0.9996783775182935,,RPL35A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ANKRD10,8.527857316646852,-0.646758332448665,0.5392094197888889,-1.1994566650966216,0.23035042536228045,0.9996783775182935,,ANKRD10,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ITGA4,35.40509849485884,-0.3331828233781449,0.27794437132289224,-1.1987392361728433,0.2306293564045444,0.9996783775182935,,ITGA4,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
HEBP2,17.898541698768852,0.4613141915283186,0.3850343478210593,1.1981117896076887,0.23087349969570647,0.9996783775182935,,HEBP2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CRKL,5.445016123776364,0.6806153632908263,0.5683086093660045,1.1976157884535823,0.23106662670985156,0.9996783775182935,,CRKL,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
GZF1,6.20575238036829,0.6715131152132737,0.5607157101319526,1.1975999656853689,0.23107278947930243,0.9996783775182935,,GZF1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SAMD9,15.38016843506075,-0.5471856171283057,0.45752381119488655,-1.1959718898547707,0.23170752889209667,0.9996783775182935,,SAMD9,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
HSPB1,12.875732605781426,-0.8196224111756635,0.6853438975220806,-1.1959286631705315,0.23172439857518257,0.9996783775182935,,HSPB1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CCT8,22.443613254983042,0.3628395649658763,0.3034418838863,1.1957464813981735,0.23179550657433812,0.9996783775182935,,CCT8,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SCAMP2,10.6542620993759,-0.5474044963276901,0.4584878606504526,-1.193934547255171,0.2325035722980865,0.9996783775182935,,SCAMP2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PAN3,8.629498689700132,-0.6275278264741605,0.526285434136113,-1.1923716405038551,0.23311555511570292,0.9996783775182935,,PAN3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
GRIPAP1,7.131084265388095,0.5867719064823699,0.4921454480801175,1.192273358966124,0.2331540770719085,0.9996783775182935,,GRIPAP1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FGL2,121.71838069050735,-0.29083544776784237,0.24420620070354404,-1.1909421092910912,0.23367631201422745,0.9996783775182935,,FGL2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NDUFB4,33.67555505608668,0.319671376982171,0.2685233281499209,1.19047897694644,0.23385818811807335,0.9996783775182935,,NDUFB4,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
MAX,17.19223731285278,0.4466330183801232,0.3752741247071817,1.1901513826156316,0.2339868978311217,0.9996783775182935,,MAX,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
BNIP2,34.76071925962593,0.2804242088197016,0.2358789007118573,1.1888482097102002,0.23449940313523676,0.9996783775182935,,BNIP2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
COPB2,7.969544563962897,-0.700275284028287,0.5890402559835833,-1.1888411308306301,0.2345021892511071,0.9996783775182935,,COPB2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
XYLT1,10.715395789014854,-0.5256472773089462,0.442648962070018,-1.187503693334764,0.23502900063715493,0.9996783775182935,,XYLT1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FKBP1A,66.95730099508563,-0.24484551306218666,0.20623269114333886,-1.1872293946453452,0.2351371492811104,0.9996783775182935,,FKBP1A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SEC31A,20.328224524000575,0.3704905140123379,0.3120797277104884,1.1871662306628141,0.23516205814118019,0.9996783775182935,,SEC31A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
UTY,8.014354322214276,0.7983987023711199,0.6726059353380296,1.1870229809522437,0.235218555911911,0.9996783775182935,,UTY,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
UCHL3,6.499255225262582,-0.7177591457854299,0.6046939187383544,-1.186979269252413,0.23523579774537207,0.9996783775182935,,UCHL3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
METTL7A,13.097392181103649,-0.5952379669773269,0.5015173257456242,-1.1868741844409156,0.23527725151712797,0.9996783775182935,,METTL7A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
TSC22D2,19.384457119181594,0.40685712423775966,0.3429343068531549,1.18639959930278,0.23546452988788014,0.9996783775182935,,TSC22D2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
DPYSL2,19.412787292250513,-0.4001684591586021,0.3373840924910616,-1.1860916624846618,0.2355861027688727,0.9996783775182935,,DPYSL2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SGK1,69.70173552779796,-0.4940779139117391,0.4166112485764422,-1.1859447280888358,0.23564412784523647,0.9996783775182935,,SGK1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
TIMM17A,9.906050050388982,-0.5616555452181474,0.47366411229046346,-1.1857675737817461,0.2357141003507689,0.9996783775182935,,TIMM17A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FCN1,201.5981919627156,-0.27978221852057517,0.23598453380079715,-1.1855955727876182,0.23578205146293307,0.9996783775182935,,FCN1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PLEKHA2,19.38902704953488,0.38224772186551403,0.3224901044018848,1.185300623640717,0.23589860701605003,0.9996783775182935,,PLEKHA2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
