gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
DDAH2,Pooled_Monocytes,16.259379630829326,0.4556146312518255,0.23132734336150032,1.9695666955368372,0.04888805173503226,0.2507157435769667,TP3M
CLIC1,Pooled_Monocytes,257.7372959305041,-0.14469278986637799,0.08131267660115898,-1.7794616524075364,0.0751641064916738,0.30962354470466397,TP3M
LSM2,Pooled_Monocytes,12.749538440899332,-0.08194675154578472,0.1604293011649783,-0.51079666214786,0.6094934466611281,0.8208597737247603,TP3M
HSPA1A,Pooled_Monocytes,139.6066328637002,0.7209707635154974,0.5282524723114814,1.3648223175572392,0.17230890257814624,0.46041979685660006,TP3M
HSPA1B,Pooled_Monocytes,141.64520237882164,0.9425487624205849,0.5826760664107156,1.6176205215132398,0.10574440374348998,0.36078359238653535,TP3M
C6orf48,Pooled_Monocytes,57.12319147008224,-0.008641707697057115,0.10871863500570832,-0.07948690393880845,0.9366453477963964,0.9756394139998629,TP3M
NEU1,Pooled_Monocytes,76.0812843156175,-0.18196146224478998,0.2210791380821791,-0.8230603024024439,0.4104737021394915,0.6959396399874407,TP3M
NELFE,Pooled_Monocytes,16.973973882558155,0.017673687048727328,0.14692360898016044,0.12029167518689157,0.9042520984660183,0.964034932924211,TP3M
STK19,Pooled_Monocytes,11.130108055402895,-0.11965875533986245,0.19346667638348441,-0.6184980151448827,0.5362471057838283,0.7788238528446454,TP3M
ATF6B,Pooled_Monocytes,17.19580416093023,-0.1598783223954057,0.15516604952762791,-1.030369226271619,0.30283671355857344,0.6064078734717756,TP3M
RNF5,Pooled_Monocytes,10.981990742870094,-0.3391165327501485,0.18685714147049348,-1.8148438431704161,0.0695479105627243,0.29837946552266476,TP3M
PBX2,Pooled_Monocytes,18.120382029832992,-0.09579137221377333,0.14426664579337287,-0.6639883507860254,0.5066977669678414,0.7568804029430097,TP3M
GPSM3,Pooled_Monocytes,120.24624824121622,-0.17304736950936997,0.07385793446032869,-2.3429760224653844,0.01913061250016287,0.14513484582818817,TP3M
HLA-DRA,Pooled_Monocytes,962.9058547291044,-0.40536814122414805,0.1135260406129774,-3.570706236519708,0.00035602000746355036,0.012508674588471123,TP3M
HLA-DRB5,Pooled_Monocytes,146.5464614879252,-0.2291313711441261,0.6405066412742618,-0.35773457506744755,0.7205419559453276,0.8801276106043583,TP3M
HLA-DRB1,Pooled_Monocytes,472.7068987702381,-0.32351249556391737,0.19023408648963838,-1.7006021451446787,0.08901772108388067,0.33232388112249045,TP3M
HLA-DQA1,Pooled_Monocytes,53.72333843127541,-0.8772642352050243,0.38006548229246145,-2.3081923407345024,0.020988440989877875,0.15268243269288545,TP3M
HLA-DQB1,Pooled_Monocytes,108.97531602821081,-0.12785251220395455,0.3109931462941968,-0.4111103853170037,0.6809915951512524,0.8603168053778674,TP3M
TAP2,Pooled_Monocytes,12.53139319652384,-0.3391708211173825,0.15971423546731806,-2.123610460426279,0.03370273012915993,0.20361381104860768,TP3M
PSMB8,Pooled_Monocytes,87.14115662925218,-0.38704485041290715,0.11063136063121223,-3.4985093576053417,0.0004678666714651606,0.015046353712105028,TP3M
PSMB8-AS1,Pooled_Monocytes,22.112690629567645,-0.44213287487829106,0.15983452178575566,-2.7661913705409145,0.005671524128993764,0.07204289880778232,TP3M
PSMB9,Pooled_Monocytes,82.48192879101279,-0.767118900281754,0.17180279457914854,-4.465113051047297,8.002648407652998e-06,0.0011660329473974398,TP3M
TAP1,Pooled_Monocytes,18.279164241846207,-0.502966208349051,0.18816078134707123,-2.6730661126523847,0.00751614360482299,0.08424202583324228,TP3M
HLA-DMB,Pooled_Monocytes,65.85290908749963,-0.6600045591384941,0.1164629143709331,-5.667079196012448,1.4525221747326299e-08,8.99474356703181e-06,TP3M
HLA-DMA,Pooled_Monocytes,96.98665890077913,-0.43516091058987466,0.12165156632012318,-3.5771089822613478,0.0003474153540115095,0.012381983192611641,TP3M
BRD2,Pooled_Monocytes,84.81055753261099,0.29812144452930334,0.16808092817272732,1.7736780000580474,0.07611642746550147,0.31009932702639337,TP3M
HLA-DPA1,Pooled_Monocytes,293.10364988474527,-0.5433245042349004,0.1648387035997603,-3.296097896730186,0.000980378461001501,0.025691660721079614,TP3M
HLA-DPB1,Pooled_Monocytes,257.1705442997106,-0.7044354515002665,0.18062249802407723,-3.900042681318494,9.617573169161164e-05,0.005945616987310846,TP3M
RING1,Pooled_Monocytes,8.08988092321975,-0.21277236627688526,0.17549083435295987,-1.2124414762821292,0.2253434322264195,,TP3M
RPS18,Pooled_Monocytes,1883.1519027538673,0.18249106831564707,0.07663950549964588,2.381161871099107,0.01725812647324536,0.13879343920204143,TP3M
PFDN6,Pooled_Monocytes,21.27198110760763,-0.3474129847293784,0.1383689730833078,-2.510772299511188,0.012046737327744271,0.10970503073831823,TP3M
TAPBP,Pooled_Monocytes,76.74388101822626,-0.09872990199452444,0.09158048238596544,-1.0780670665003467,0.2810038275152352,0.5846673504873898,TP3M
CUTA,Pooled_Monocytes,45.69791704392238,0.040605105045061846,0.11073556552039182,0.36668530886388495,0.7138537662194444,0.8763896371946694,TP3M
UQCC2,Pooled_Monocytes,10.944785776625992,-0.3236164127839898,0.18084520490923506,-1.7894663723398725,0.07353973847662199,0.3064331948495025,TP3M
HMGA1,Pooled_Monocytes,27.001956436143978,0.17495393410563362,0.17566510123134124,0.9959515742129618,0.319273674733785,0.6212418635629108,TP3M
SMIM29,Pooled_Monocytes,10.538616152082806,-0.36030647802031585,0.190862373226035,-1.8877816089691555,0.059055275142267646,0.27678319115874545,TP3M
NUDT3,Pooled_Monocytes,28.56040670080222,-0.23564563207209172,0.11768968565789734,-2.0022623966986455,0.045256518001508164,0.24166787227288702,TP3M
RPS10,Pooled_Monocytes,132.07358345759803,0.2778970832913956,0.1426498793152605,1.9481059824609792,0.051402283137942845,0.2580009226599482,TP3M
C6orf106,Pooled_Monocytes,10.207538675392813,-0.5794215760656887,0.17361022444222565,-3.337485323386064,0.0008454018658672455,0.022990249720186658,TP3M
AL451165.2,Pooled_Monocytes,9.189975355883199,-0.034414349029806605,0.23229700004703832,-0.14814805625056704,0.88222592444686,0.9552337579477095,TP3M
SNRPC,Pooled_Monocytes,23.36204165225466,-0.06855241725829166,0.12876904777420664,-0.5323671988201437,0.5944716986256507,0.8115952531959757,TP3M
TAF11,Pooled_Monocytes,16.37883808555166,-0.2253107576259111,0.14098540927816736,-1.5981140089565433,0.11001760645339109,0.36801297931809557,TP3M
DEF6,Pooled_Monocytes,15.37449339045432,-0.22197185657484073,0.15532222714202315,-1.4291055482476094,0.15297389908087078,0.43379089642051166,TP3M
RPL10A,Pooled_Monocytes,624.9588240198295,0.049489105472177934,0.07189256131849465,0.6883758842995438,0.4912161061758068,0.7471174159120061,TP3M
FKBP5,Pooled_Monocytes,46.448141936251446,0.31648572615594595,0.24196359423866157,1.3079890268276444,0.19087703119671573,0.48567273371778613,TP3M
MAPK14,Pooled_Monocytes,26.887510095727855,-0.10011260996147743,0.14950601143314718,-0.6696226392625262,0.5030983783610571,0.7554863190059644,TP3M
KCTD20,Pooled_Monocytes,24.80554786854904,0.1364996106741927,0.13541776671201025,1.0079889366694637,0.31345977343476095,0.6159776745719182,TP3M
STK38,Pooled_Monocytes,25.91383619552635,-0.21305769444273545,0.1397789480337637,-1.5242473737266304,0.12744692793504064,0.3980908455171446,TP3M
