gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
ATAD5,Pooled_CD4,20.07928008615067,-0.2322831406048747,0.14550509688072333,-1.596391779975151,0.11040135023130598,0.34027870713338515,TP4M
TEFM,Pooled_CD4,21.81297774539303,0.3784658121886899,0.14848701207273884,2.548814249176838,0.010808985498303897,0.08564042356348472,TP4M
NF1,Pooled_CD4,26.05456327575509,-0.017271726047738505,0.1441845785542653,-0.1197889969989968,0.9046502983003893,0.9708704137787216,TP4M
EVI2B,Pooled_CD4,248.04241332398118,-0.10006774070922217,0.07599944599768761,-1.3166903968256145,0.18794242388165316,0.4607675514085604,TP4M
EVI2A,Pooled_CD4,154.94415721105156,0.1725149000842914,0.1279345732487253,1.3484619184909057,0.17750986050927464,0.44429336664533003,TP4M
RAB11FIP4,Pooled_CD4,28.63718994170754,0.05575128344510484,0.13243581193742865,0.4209683365058795,0.6737782032763613,0.8638494298933834,TP4M
UTP6,Pooled_CD4,42.838452640081336,-0.013600156952407523,0.09553349472998963,-0.1423600904671835,0.8867955844525819,0.9622888712759693,TP4M
SUZ12,Pooled_CD4,136.79671560777354,-0.15111322883705866,0.06864253575031291,-2.2014517264736946,0.027704060555679106,0.1515549381463797,TP4M
LRRC37B,Pooled_CD4,19.129490567961643,-0.006386506476182406,0.16381589265631585,-0.03898587843110701,0.9689016474343197,0.9925898681874613,TP4M
RHOT1,Pooled_CD4,27.706679716925674,-0.27375981348909645,0.12373447021450568,-2.2124781640435955,0.026933643341538808,0.14959662516730463,TP4M
C17orf75,Pooled_CD4,15.924478415723128,-0.04289002850836427,0.16861238701158235,-0.2543705671245735,0.7992092873143435,0.926404570523013,TP4M
ZNF207,Pooled_CD4,174.58996410354052,0.11367955950805962,0.058648198069657556,1.9383299615282348,0.05258297926451522,0.22123459269667028,TP4M
PSMD11,Pooled_CD4,76.78329229586637,-0.07756804358474066,0.09195645216935382,-0.8435301901587678,0.3989319885185967,0.6795481930146876,TP4M
CDK5R1,Pooled_CD4,11.780133025025576,0.22789789737579103,0.2601256388019502,0.8761070166916681,0.3809718586099077,0.6660868099503263,TP4M
ZNF830,Pooled_CD4,94.42132679984923,-0.13930214524837758,0.07025270584917394,-1.9828723116721856,0.04738169417002478,0.2072821749792966,TP4M
LIG3,Pooled_CD4,17.293456142840164,-0.0990054063529614,0.1640671557992422,-0.6034443997682728,0.5462130929128951,0.7890175638260656,TP4M
