gene,cluster,timepoint,log2FoldChange,padj,sig
JAK1,11,TP1M,-0.1512269260260644,0.535546225334103,False
ODC1,11,TP1M,-0.547624097362238,0.0517836406691008,False
IL6ST,11,TP1M,0.4579879448755469,,False
HINT1,11,TP1M,0.2068546705456938,0.3006994977028688,False
CD74,11,TP1M,-0.5146077503584879,0.0181633743366418,False
EIF3E,11,TP1M,0.1217687598498201,0.5338877499012118,False
UBC,11,TP1M,-0.198903413213653,0.2980670085318307,False
HMGB1,11,TP1M,0.4830566355004537,0.0455770636772119,False
PSME2,11,TP1M,0.1024350076946675,0.778872606972679,False
STAT3,11,TP1M,0.0440661550543083,0.9096174941811488,False
JAK1,0,TP2M,0.0237689454981378,0.8477103427807298,False
ODC1,0,TP2M,-0.1943803849848319,0.3816377583200606,False
IL6ST,0,TP2M,0.1235586722351092,0.5158191159521331,False
VCAN,0,TP2M,0.7316617304660652,0.0394844379561979,False
HINT1,0,TP2M,0.117208106067844,0.0690148988433422,False
CD74,0,TP2M,-0.4742086734536335,8.15907376046322e-06,False
PIM1,0,TP2M,0.2112968366457621,0.1916571506643002,False
EIF3E,0,TP2M,0.1737206847536277,0.0152225755222102,False
UBC,0,TP2M,-0.2983614512881671,0.0001077353360919,False
HMGB1,0,TP2M,0.1431065184832377,0.0732393474734887,False
PSME2,0,TP2M,-0.2223353557137188,0.1031043322742282,False
STAT3,0,TP2M,0.1436390099942516,0.3603737954413387,False
SOCS3,0,TP2M,-0.2930952081406726,0.1846209458755405,False
JAK1,2,TP2M,0.1420564176068433,0.0949694613548213,False
ODC1,2,TP2M,0.098453807434814,0.6370389604013318,False
IL6ST,2,TP2M,0.2100638407592786,0.1494284646319229,False
HINT1,2,TP2M,0.0523971135107259,0.6086827341715272,False
CD74,2,TP2M,-0.4878889882457378,0.0002615382387583,False
PIM1,2,TP2M,0.3603324068413713,0.0417453917060995,False
EIF3E,2,TP2M,-0.0016469246217858,0.9906689981677618,False
UBC,2,TP2M,-0.2015107558429114,0.0034070574890996,False
HMGB1,2,TP2M,0.0762315900059101,0.2932919812609806,False
PSME2,2,TP2M,-0.3803999904375336,0.0102569557148687,False
STAT3,2,TP2M,0.2579454277022528,0.0214723246956424,False
SOCS3,2,TP2M,0.045101296067823,0.9090266026473068,False
JAK1,5,TP2M,0.0574648670461244,0.661440934872995,False
ODC1,5,TP2M,-0.2139815946408254,0.139065425035473,False
IL6ST,5,TP2M,0.35708519090873,0.027081077293312,False
HINT1,5,TP2M,0.1080168661084916,0.2045632908092564,False
CD74,5,TP2M,-0.4605594205750593,0.0029786933367576,False
PIM1,5,TP2M,0.6558495155986386,0.0060467576485913,False
EIF3E,5,TP2M,0.0612085343654031,0.4430473520806838,False
UBC,5,TP2M,-0.3273335710313627,3.366285514284348e-06,False
HMGB1,5,TP2M,0.1231422042059814,0.1472949739062221,False
PSME2,5,TP2M,-0.3218881446888924,0.0381160191269444,False
STAT3,5,TP2M,0.4964402488042509,0.0001523787440931,False
SOCS3,5,TP2M,0.4073273211085335,0.1917941584436697,False
JAK1,6,TP2M,-0.0308557458363299,0.8706081427838056,False
ODC1,6,TP2M,0.014766830448015,0.964256858044882,False
IL6ST,6,TP2M,0.2461567698106829,0.2717461264079948,False
VCAN,6,TP2M,0.280107211988855,0.1795703786824515,False
HINT1,6,TP2M,-0.0080697908824582,0.9689890511789708,False
CD74,6,TP2M,-0.6804379472530376,6.357957934582839e-11,False
PIM1,6,TP2M,0.4001736853206872,0.2391276445834229,False
EIF3E,6,TP2M,0.1097182167996194,0.54610114652145,False
UBC,6,TP2M,-0.2531085130223078,0.0267776261532974,False
HMGB1,6,TP2M,0.0913537034835554,0.3644274777266134,False
PSME2,6,TP2M,-0.9060909282560278,1.3892626787419023e-09,False
STAT3,6,TP2M,-0.0326179560288645,0.9000027897853273,False
SOCS3,6,TP2M,-0.0974728278409831,0.7365699119042326,False
JAK1,7,TP2M,0.0728668690978337,0.7561672660508639,False
ODC1,7,TP2M,-0.4447944798365844,0.1219001367690718,False
IL6ST,7,TP2M,0.1587256738722037,0.6181785784484785,False
VCAN,7,TP2M,0.498068877761302,0.0011546181927161,False
HINT1,7,TP2M,0.0042515020936916,0.9857143036176078,False
CD74,7,TP2M,-0.8729898886063809,1.1034932818654626e-22,False
PIM1,7,TP2M,1.311878124510279,0.0009476559492414,True
EIF3E,7,TP2M,-0.0231890951830536,0.9316560074468077,False
UBC,7,TP2M,-0.1568549719373062,0.1923508716172969,False
HMGB1,7,TP2M,0.127411391150672,0.2787616751862938,False
PSME2,7,TP2M,-0.8975495069811076,9.832140995704894e-05,False
STAT3,7,TP2M,-0.1612661345540544,0.3881299543589351,False
SOCS3,7,TP2M,0.6395515255622518,0.1245585001005417,False
JAK1,11,TP2M,0.0661542955964495,0.7920550979117897,False
ODC1,11,TP2M,-0.4983529846638081,0.0518459202362286,False
IL6ST,11,TP2M,0.4131951219042791,,False
HINT1,11,TP2M,0.3418073641611435,0.015266906393758,False
CD74,11,TP2M,-0.627942754051379,0.0019718469269503,False
EIF3E,11,TP2M,0.1200963052617117,0.5332864361083449,False
UBC,11,TP2M,-0.4168798500577887,0.0002574430183776,False
HMGB1,11,TP2M,0.3472820637114043,0.0606200380089191,False
PSME2,11,TP2M,-0.2557039359785322,0.4457899595025634,False
