gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LITAF,3,TP3M,84.78965198666614,-0.07145093876312458,0.08516383669550993,-0.8389821494137977,0.40147932668730724,0.6932079568301642
ZC3H7A,3,TP3M,9.217158309501759,0.43948320276359176,0.20228862954438384,2.172555144366952,0.029813815002084146,0.17099362213210229
RSL1D1,3,TP3M,23.296154498595406,0.11180818484408353,0.11936650997477816,0.9366796840060777,0.3489233496088562,0.6487329601608323
GSPT1,3,TP3M,16.514464270387336,0.19889436480979913,0.15170412863131205,1.3110675800602234,0.18983493266626228,0.4719625830377364
BFAR,3,TP3M,11.544972668837808,0.15332862723100055,0.1683639128893298,0.910697694058629,0.3624546794332063,0.6615677644023572
RPS15A,3,TP3M,602.0368978668537,0.1905321448207528,0.06915464672830429,2.7551604098176954,0.005866336664874896,0.06918380804774969
ARL6IP1,3,TP3M,24.17998951989331,0.3115641308183453,0.12870453723566316,2.420770374612814,0.015487657045203673,0.11860646479465752
SMG1,3,TP3M,26.637466965824423,0.09412088030085285,0.11741969029020827,0.8015766356411662,0.4227978973362583,0.7104427339046695
THUMPD1,3,TP3M,24.369260405269003,-0.1565536338743126,0.11215599586299631,-1.3958561258334334,0.16275782492898927,0.43638759100088065
METTL9,3,TP3M,16.08776794999165,-0.10954465079172948,0.148596106190904,-0.7371973169404289,0.461002364849759,0.7361837082972518
UQCRC2,3,TP3M,12.983523625137973,-0.10931521422040838,0.16478882667859066,-0.6633654503385732,0.5070965278062678,0.7626731778206267
NDUFAB1,3,TP3M,19.601325555446586,0.009156502491393416,0.1445542931254146,0.06334299932171007,0.9494933759831121,0.9830193811603584
PRKCB,3,TP3M,30.558431438361076,-0.04091456989541705,0.13257074835874297,-0.3086244167883869,0.757607245075455,0.9100481848629464
RBBP6,3,TP3M,30.350597272144853,0.005662741558045339,0.10541597396164722,0.053718059467017555,0.9571597942016832,0.9862367820855813
