grouping,comparison,res1_cluster,res2_cluster,cluster_overlap_pct,sig_genes_res1,sig_genes_res2,conserved,lost,gained,conserved_pct_of_res1,direction_agreement_pct,conserved_genes,lost_genes,gained_genes
DRVI,ACS_vs_CCS,5,9,50.7,10,2,2,8,0,20.0,100.0,HIST1H4C;RPS26,AC016831.5;AC058791.1;CXCL8;DDX3Y;HIST1H1D;MTRNR2L8;RPS4Y1;XIST,
DRVI,ACS_vs_CCS,6,2,95.8,4,6,4,0,2,100.0,100.0,HIST1H1D;HIST1H1E;MTRNR2L8;RPS26,,AC058791.1;HIST1H4C
DRVI,ACS_vs_CCS,7,3,96.8,97,91,81,16,10,83.5,100.0,AC016831.5;AC058791.1;AREG;ARID5B;ARL4C;BCL11B;BCL2;CAMK2D;CCL20;CCND2;CD2;CD3D;CD3E;CD3G;CD69;CLCN3;CLEC2D;CXCL1;CXCL2;CXCR4;DBF4;DDX3Y;EPSTI1;ETS1;FKBP5;GBP1;GBP2;GPR183;GPRIN3;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFIT2;IFITM3;IL32;IL7R;ISG15;JMY;KLRB1;LGALS2;MARCO;MGAT4A;NKG7;NR1D2;OAS1;P2RY8;PAG1;PCNX1;PDE3B;PDE4D;PIM1;PIM2;PLEKHO1;PSME2;PSME4;RASGRP1;RCAN3;RGCC;RGS1;RNF125;RORA;RUNX3;SKI;SLC38A1;SNAI1;SPOCK2;SSBP3;STAT1;STK17A;SYNE2;TAP1;TCF7;TENT5C;TMEM50B;TRAC;TRBC1;TSTD1;UTY;WARS;ZBTB10,AC020656.1;GBP4;GPBAR1;HLA-DQA1;KLF9;LMNA;LTB;LUCAT1;MAL;MTRNR2L8;PARP14;PIGA;PTX3;RHOH;SLC4A7;TRBC2,CXCL3;CXCL8;EREG;GBP5;HEBP1;LITAF;RALGAPA2;SATB1;SERPINB2;THBS1
DRVI,ACS_vs_CCS,8,4,96.8,6,3,2,4,1,33.3,100.0,METRNL;MTRNR2L8,IGKC;MAP3K8;TRDC;XIST,RPS4Y1
DRVI,ACS_vs_CCS,9,8,83.6,55,10,8,47,2,14.5,100.0,HIPK2;HIST1H1D;HLA-DQA2;IGHA1;IL4R;MTRNR2L8;RGS1;TCL1A,AAK1;ANXA2;BCL11B;CCL5;CD2;CD3D;CD3E;CD3G;CDCA7L;CREM;FABP5;FCER2;FYB1;GIMAP7;GNLY;GZMA;HCST;HIST1H1C;ID2;IGHD;IGHM;IL32;IL7R;ITGB1;JPT1;LEPROTL1;LITAF;LMNA;METRNL;NKG7;NOSIP;NR4A3;PAG1;PAWR;PPP2R5C;RASGRP1;RGCC;RNF125;RORA;S100A10;S100A4;SRGN;TCF7;TNFAIP3;TRAC;TRBC1;XIST,JCHAIN;RPS26
DRVI,ACS_vs_CCS,10,15,98.1,37,36,35,2,1,94.6,100.0,AC245128.3;AHR;ARL4C;B4GALT1;BASP1;CCL3L1;CCL5;CXCL3;CXCR4;DDIT4;DDX3Y;EIF4E;EPSTI1;EREG;GBP1;GBP4;GPBAR1;GPR183;IL32;IL7R;IRS2;LDHB;LITAF;LMNA;MTRNR2L8;NAGK;PPM1N;RPS4Y1;SEMA4D;SFMBT2;SLC2A3;STK17A;TOB2;UBE2L6;XIST,OAS1;XAF1,ETS1
DRVI,ACS_vs_CCS,11,17,94.8,3,1,1,2,0,33.3,100.0,RPS26,GPR183;MTRNR2L8,
DRVI,ACS_vs_CCS,12,23,99.3,4,4,4,0,0,100.0,100.0,AC020656.1;HLA-DQA2;TNFAIP3;ZNF331,,
DRVI,ACS_vs_CCS,13,25,99.6,0,0,0,0,0,,,,,
DRVI,ACS_vs_CCS,14,30,73.5,0,0,0,0,0,,,,,
